Date,Sales
2015-01-23,3963.2315290828287
2015-01-24,3928.898567365948
2015-01-25,3887.3773877281983
2015-01-26,3813.6090893565115
2015-01-27,3758.10487741541
2015-01-28,3743.0683169570902
2015-01-29,3689.519287578184
2015-01-30,3626.2917236539543
2015-01-31,3604.162427930769
2015-02-01,3584.008872889121
2015-02-02,3540.272188530499
2015-02-03,3522.731942849029
2015-02-04,3552.6468634528856
2015-02-05,3549.9031108539157
2015-02-06,3542.0415334724457
2015-02-07,3578.420375622075
2015-02-08,3618.410518937903
2015-02-09,3634.8982635245425
2015-02-10,3676.101343318581
2015-02-11,3761.7511122750657
2015-02-12,3810.281397604652
2015-02-13,3847.894342580375
2015-02-14,3922.758657526081
2015-02-15,3993.236390798651
2015-02-16,4031.4123681356537
2015-02-17,4084.931271369039
2015-02-18,4173.194723908373
2015-02-19,4214.558479890972
2015-02-20,4235.399820878365
2015-02-21,4284.310546590629
2015-02-22,4320.311826457892
2015-02-23,4316.365397857631
2015-02-24,4321.186592389973
2015-02-25,4355.41222638322
2015-02-26,4338.764260942646
2015-02-27,4299.080260843846
2015-02-28,4286.467055348821
2015-03-01,4261.474947196325
2015-03-02,4198.568068027424
2015-03-03,4147.89747611723
2015-03-04,4131.431118492322
2015-03-05,4070.082590124912
2015-03-06,3992.710661065552
2015-03-07,3950.2467987736504
2015-03-08,3903.848733915514
2015-03-09,3828.3561996569138
2015-03-10,3774.0558169518254
2015-03-11,3762.809442123158
2015-03-12,3715.187922449584
2015-03-13,3659.4820611624746
2015-03-14,3645.847678493758
2015-03-15,3634.4822978823254
2015-03-16,3599.108933936157
2015-03-17,3588.77315646435
2015-03-18,3624.0068441092844
2015-03-19,3623.999585509816
2015-03-20,3615.648485075441
2015-03-21,3647.7421882229787
2015-03-22,3679.175585588614
2015-03-23,3682.4696348651673
2015-03-24,3705.601496680987
2015-03-25,3768.1975067810104
2015-03-26,3788.729161819086
2015-03-27,3793.5822266901673
2015-03-28,3831.2542776172677
2015-03-29,3860.576801223977
2015-03-30,3854.236118594888
2015-03-31,3860.598334281767
2015-04-01,3899.891007970398
2015-04-02,3891.382067478153
2015-04-03,3862.426567736038
2015-04-04,3862.6372472819007
2015-04-05,3852.0757618879643
2015-04-06,3804.7397240157816
2015-04-07,3770.3516837166376
2015-04-08,3770.503734062154
2015-04-09,3725.799267474304
2015-04-10,3664.8634917253785
2015-04-11,3638.479617176924
2015-04-12,3607.748524035693
2015-04-13,3547.547846556716
2015-04-14,3508.2973410236054
2015-04-15,3512.0848166738606
2015-04-16,3479.794614951497
2015-04-17,3440.110552958931
2015-04-18,3443.6504041825538
2015-04-19,3451.1296993208703
2015-04-20,3436.830638459976
2015-04-21,3450.3826565945938
2015-04-22,3512.9084675381437
2015-04-23,3544.1769891896474
2015-04-24,3571.6343746985967
2015-04-25,3644.5694426061855
2015-04-26,3722.310442587487
2015-04-27,3777.7280596077085
2015-04-28,3859.050292648083
2015-04-29,3986.0421347386637
2015-04-30,4077.190590888284
2015-05-01,4158.76544713557
2015-05-02,4279.011348797059
2015-05-03,4396.36748468493
2015-05-04,4482.989251251932
2015-05-05,4586.577127514986
2015-05-06,4726.565414609947
2015-05-07,4821.311241160881
2015-05-08,4897.154250869787
2015-05-09,5002.602669424822
2015-05-10,5096.542315829596
2015-05-11,5151.743319756861
2015-05-12,5216.670269551784
2015-05-13,5311.649028760733
2015-05-14,5356.031278573255
2015-05-15,5377.227910722585
2015-05-16,5424.867708557462
2015-05-17,5458.978630814428
2015-05-18,5453.46719913566
2015-05-19,5457.902421619187
2015-05-20,5493.658147601974
2015-05-21,5481.055500738345
2015-05-22,5448.377022579405
2015-05-23,5446.009376470804
2015-05-24,5434.612236065444
2015-05-25,5388.589058671805
2015-05-26,5357.866263123555
2015-05-27,5364.034683241627
2015-05-28,5327.494812331746
2015-05-29,5276.477238801968
2015-05-30,5261.19479987383
2015-05-31,5242.023676300249
2015-06-01,5192.988662586255
2015-06-02,5163.558618043941
2015-06-03,5174.805423533158
2015-06-04,5146.567398486178
2015-06-05,5106.488020059514
2015-06-06,5104.185932403547
2015-06-07,5099.452964876839
2015-06-08,5065.754938611485
2015-06-09,5052.040872915515
2015-06-10,5078.913593745146
2015-06-11,5065.802454977762
2015-06-12,5040.0088540543275
2015-06-13,5050.880455423141
2015-06-14,5058.010851103621
2015-06-15,5034.739530021303
2015-06-16,5029.957935778462
2015-06-17,5064.274851126598
2015-06-18,5057.182113742868
2015-06-19,5036.091684964042
2015-06-20,5050.500358419781
2015-06-21,5060.179231273322
2015-06-22,5038.663209170273
2015-06-23,5035.046716398141
2015-06-24,5070.139220709904
2015-06-25,5063.621915904565
2015-06-26,5043.076879001572
2015-06-27,5058.145231899858
2015-06-28,5068.711614039417
2015-06-29,5048.390357078168
2015-06-30,5046.319586668785
2015-07-01,5083.316847926922
2015-07-02,5079.0375205838955
2015-07-03,5061.007203715752
2015-07-04,5078.7844095521405
2015-07-05,5092.150637227599
2015-07-06,5074.602946183264
2015-07-07,5075.154958101579
2015-07-08,5114.49957431941
2015-07-09,5112.174363429844
2015-07-10,5095.600497733693
2015-07-11,5114.251298097473
2015-07-12,5127.847209735802
2015-07-13,5109.852121011146
2015-07-14,5109.276794794081
2015-07-15,5146.842594058042
2015-07-16,5142.146408981397
2015-07-17,5122.697676295152
2015-07-18,5138.083621514194
2015-07-19,5148.159674018971
2015-07-20,5126.540146188199
2015-07-21,5122.395170308012
2015-07-22,5156.607335934428
2015-07-23,5148.929223178615
2015-07-24,5127.013027376908
2015-07-25,5140.5687156828535
